time,user,uj,step,cycle,error type,error cause,cause message/ddi
2018-01-29 07:13:04,0009,Open and Assign CM WO as Supervisor,Select WO,262,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:13:35,0009,Open and Assign CM WO as Supervisor,Select WO,263,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:14:10,0009,Open and Assign CM WO as Supervisor,Select WO,264,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:14:52,0009,Open and Assign CM WO as Supervisor,Select WO,265,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:15:31,0009,Open and Assign CM WO as Supervisor,Select WO,266,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:16:09,0009,Open and Assign CM WO as Supervisor,Select WO,267,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:16:50,0009,Open and Assign CM WO as Supervisor,Select WO,268,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:17:19,0009,Open and Assign CM WO as Supervisor,Select WO,269,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:17:57,0009,Open and Assign CM WO as Supervisor,Select WO,270,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:18:33,0009,Open and Assign CM WO as Supervisor,Select WO,271,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:19:04,0009,Open and Assign CM WO as Supervisor,Select WO,272,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:19:40,0009,Open and Assign CM WO as Supervisor,Select WO,273,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:20:16,0009,Open and Assign CM WO as Supervisor,Select WO,274,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:20:50,0009,Open and Assign CM WO as Supervisor,Select WO,275,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:21:23,0009,Open and Assign CM WO as Supervisor,Select WO,276,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:21:56,0009,Open and Assign CM WO as Supervisor,Select WO,277,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:22:27,0009,Open and Assign CM WO as Supervisor,Select WO,278,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:23:03,0009,Open and Assign CM WO as Supervisor,Select WO,279,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:23:37,0009,Open and Assign CM WO as Supervisor,Select WO,280,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:24:08,0009,Open and Assign CM WO as Supervisor,Select WO,281,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:24:44,0009,Open and Assign CM WO as Supervisor,Select WO,282,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:25:13,0009,Open and Assign CM WO as Supervisor,Select WO,283,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:25:49,0009,Open and Assign CM WO as Supervisor,Select WO,284,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:26:18,0009,Open and Assign CM WO as Supervisor,Select WO,285,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:26:59,0009,Open and Assign CM WO as Supervisor,Select WO,286,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:27:36,0009,Open and Assign CM WO as Supervisor,Select WO,287,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:28:03,0009,Open and Assign CM WO as Supervisor,Select WO,288,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:28:33,0009,Open and Assign CM WO as Supervisor,Select WO,289,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:29:16,0009,Open and Assign CM WO as Supervisor,Select WO,290,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:29:49,0009,Open and Assign CM WO as Supervisor,Select WO,291,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:30:18,0009,Open and Assign CM WO as Supervisor,Select WO,292,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:30:55,0009,Open and Assign CM WO as Supervisor,Select WO,293,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:31:38,0009,Open and Assign CM WO as Supervisor,Select WO,294,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:32:20,0009,Open and Assign CM WO as Supervisor,Select WO,295,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:32:54,0009,Open and Assign CM WO as Supervisor,Select WO,296,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:33:29,0009,Open and Assign CM WO as Supervisor,Select WO,297,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:34:11,0009,Open and Assign CM WO as Supervisor,Select WO,298,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:34:42,0009,Open and Assign CM WO as Supervisor,Select WO,299,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:35:14,0009,Open and Assign CM WO as Supervisor,Select WO,300,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:35:44,0009,Open and Assign CM WO as Supervisor,Select WO,301,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:36:12,0009,Open and Assign CM WO as Supervisor,Select WO,302,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:36:48,0009,Open and Assign CM WO as Supervisor,Select WO,303,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:37:21,0009,Open and Assign CM WO as Supervisor,Select WO,304,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:37:58,0009,Open and Assign CM WO as Supervisor,Select WO,305,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:38:26,0009,Open and Assign CM WO as Supervisor,Select WO,306,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:39:10,0009,Open and Assign CM WO as Supervisor,Select WO,307,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:39:43,0009,Open and Assign CM WO as Supervisor,Select WO,308,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:40:12,0009,Open and Assign CM WO as Supervisor,Select WO,309,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:40:47,0009,Open and Assign CM WO as Supervisor,Select WO,310,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:41:29,0009,Open and Assign CM WO as Supervisor,Select WO,311,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:42:06,0009,Open and Assign CM WO as Supervisor,Select WO,312,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:42:47,0009,Open and Assign CM WO as Supervisor,Select WO,313,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:43:16,0009,Open and Assign CM WO as Supervisor,Select WO,314,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:43:53,0009,Open and Assign CM WO as Supervisor,Select WO,315,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:44:31,0009,Open and Assign CM WO as Supervisor,Select WO,316,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:45:11,0009,Open and Assign CM WO as Supervisor,Select WO,317,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:45:42,0009,Open and Assign CM WO as Supervisor,Select WO,318,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:46:13,0009,Open and Assign CM WO as Supervisor,Select WO,319,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:46:52,0009,Open and Assign CM WO as Supervisor,Select WO,320,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:47:18,0009,Open and Assign CM WO as Supervisor,Select WO,321,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:47:52,0009,Open and Assign CM WO as Supervisor,Select WO,322,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:48:19,0009,Open and Assign CM WO as Supervisor,Select WO,323,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:48:53,0009,Open and Assign CM WO as Supervisor,Select WO,324,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:49:30,0009,Open and Assign CM WO as Supervisor,Select WO,325,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:50:03,0009,Open and Assign CM WO as Supervisor,Select WO,326,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:50:40,0009,Open and Assign CM WO as Supervisor,Select WO,327,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:51:11,0009,Open and Assign CM WO as Supervisor,Select WO,328,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:51:46,0009,Open and Assign CM WO as Supervisor,Select WO,329,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:52:15,0009,Open and Assign CM WO as Supervisor,Select WO,330,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:52:49,0009,Open and Assign CM WO as Supervisor,Select WO,331,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:53:26,0009,Open and Assign CM WO as Supervisor,Select WO,332,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:54:03,0009,Open and Assign CM WO as Supervisor,Select WO,333,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:54:43,0009,Open and Assign CM WO as Supervisor,Select WO,334,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:55:26,0009,Open and Assign CM WO as Supervisor,Select WO,335,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
2018-01-29 07:56:06,0009,Open and Assign CM WO as Supervisor,Select WO,336,Response DD Extraction Failure,Response DD Extraction Failure,Open and Assign CM WO as Supervisor ID 3
